タイムスタンプ,日付,収支,3,金額,ジャンル,支払い方法・移動元,場所,,内容,,移動先・収入先,本当に必要？,カード名,メモ
2025/05/10 22:37:59,2025/05/10,支出,,183,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,Olive,SEVEN-ELEVEN
2025/05/10 22:31:44,2025/05/10,支出,,937,食品,クレジットカード,飲食店,,夕食,,,なくても良い,paypayクレジット,吉野家
2025/05/10 09:16:52,2025/05/10,経費追加,,20000,,,,,経費追加,,経費,,,
2025/05/10 08:38:56,2025/05/10,支出,,290,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,Olive,LAWSON
2025/05/10 06:15:05,2025/05/10,支出,,1280,サブスク,クレジットカード,ネット,,Rentio ルンバレンタル,,,なくても良い,デビュープラス,4月利用分
2025/05/09 20:39:02,2025/05/09,支出,,1088,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,KATSUYA KAWAGOEUETERAYAMA
2025/05/09 19:59:14,2025/05/09,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/05/09 19:57:30,2025/05/09,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/05/09 19:55:39,2025/05/09,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/05/09 11:46:23,2025/05/09,支出,,2160,食品,クレジットカード,飲食店,,昼食,,,必要,paypayクレジット,
2025/05/09 10:21:02,2025/05/09,移動,,4917,食品,,,,タベソダ,,,,,2025年5月2回
2025/05/09 08:35:00,2025/05/09,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/07/23 18:37:17,2025/05/08,支出,,3300,サブスク,クレジットカード,ネット,,chatGPT課金,,,なくても良い,デビュープラス,
2025/05/08 21:55:26,2025/05/08,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/05/08 21:53:15,2025/05/08,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/05/08 20:15:42,2025/05/08,支出,,880,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,FRESHNESS BURGER
2025/05/08 14:34:53,2025/05/08,支出,,690,食品,PASMO,飲食店,,昼食,,,必要,,
2025/05/08 10:18:47,2025/05/08,支出,,486,間食,amazonギフト,ネット,,カフェオレスティック,,,なくても良い,,
2025/05/08 08:36:22,2025/05/08,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,
2025/05/08 08:34:25,2025/05/08,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/05/08 07:16:00,2025/05/08,支出,,3558,食品,amazonギフト,ネット,,ベースブレッド,,,必要,,
2025/05/07 20:00:26,2025/05/07,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/05/07 19:58:31,2025/05/07,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/05/07 17:20:45,2025/05/07,支出,,940,食品,クレジットカード,飲食店,,夕食,,,必要,paypayクレジット,ファーストキッチン
2025/05/07 09:58:04,2025/05/07,支出,,972,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,FAMILYMART
2025/05/07 09:56:24,2025/05/07,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/05/07 06:15:06,2025/05/07,移動,,20000,,,,,SBI積立NISA約定,,SBI積立NISA,,,5月発注分
2025/05/05 21:48:04,2025/05/05,支出,,533,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,FAMILYMART
2025/05/05 17:20:04,2025/05/05,収入,,100,,,,,拾った,,現金,,,
2025/05/05 17:19:42,2025/05/05,支出,,300,日用品,現金,スーパー・小売,,フェイスタオル,,,なくても良い,,
2025/05/04 19:58:48,2025/05/04,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/05/04 19:58:14,2025/05/04,支出,,508,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2025/05/04 19:54:46,2025/05/04,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/05/04 18:34:00,2025/05/04,支出,,1000,食品,現金,飲食店,,夕食,,,なくても良い,,
2025/05/04 08:18:58,2025/05/04,支出,,581,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2025/05/04 08:17:36,2025/05/04,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜代官山,,,必要,,
2025/05/04 06:15:07,2025/05/04,支出,,8504,減価償却,償却資産,ネット,,Galaxy S24 Ultra 512GB 減価償却,,,必要,,14回目/24回
2025/05/03 16:02:23,2025/05/03,支出,,440,便利アイテム,クレジットカード,スーパー・小売,,ダイソー,,,なくても良い,デビュープラス,
2025/05/03 14:55:12,2025/05/03,支出,,790,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2025/05/03 06:15:09,2025/05/03,支出,,4769,減価償却,償却資産,ネット,,コンタクト180枚 減価償却,,,必要,,3回目/6回
2025/05/02 18:34:41,2025/05/02,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2025/05/02 11:34:55,2025/05/02,支出,,501,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2025/05/02 11:23:14,2025/05/02,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2025/05/02 06:15:06,2025/05/02,移動,,8856,,ゆうちょ,,,ENEOSカード支払い,,,,,3月利用分
2025/05/01 18:59:54,2025/05/01,支出,,290,食品,クレジットカード,コンビニ,,夕食,,,必要,Olive,LAWSON
2025/05/01 18:59:37,2025/05/01,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/05/01 18:54:12,2025/05/01,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/05/01 10:30:45,2025/05/01,支出,,690,食品,PASMO,飲食店,,昼食,,,必要,,
2025/05/01 10:29:51,2025/05/01,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/30 23:15:34,2025/04/30,支出,,1400,趣味・娯楽,クレジットカード,ネット,,ミッションインポッシブル 前売り券,,,なくても良い,デビュープラス,
2025/04/30 20:23:55,2025/04/30,支出,,990,食品,クレジットカード,飲食店,,夕食,,,なくても良い,paypayクレジット,
2025/04/30 19:22:21,2025/04/30,支出,,300,趣味・娯楽,クレジットカード,ネット,,コナン映画 コンフォートシート,,,なくても良い,デビュープラス,
2025/04/30 06:15:05,2025/04/30,支出,,4380,固定費,クレジットカード,ネット,,電気代,,,必要,デビュープラス,3月利用分
2025/04/29 23:07:51,2025/04/29,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/29 23:04:16,2025/04/29,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/29 21:42:27,2025/04/29,支出,,937,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,
2025/04/29 12:46:34,2025/04/29,支出,,120,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,paypayクレジット,
2025/04/29 07:25:42,2025/04/29,支出,,582,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2025/04/29 07:21:35,2025/04/29,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/28 20:32:19,2025/04/28,支出,,3327,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2025/04/28 15:25:25,2025/04/28,支出,,300,サブスク,クレジットカード,ネット,,シネママイレージ更新,,,なくても良い,デビュープラス,
2025/04/28 06:15:21,2025/04/28,支出,,2367,減価償却,償却資産,その他,,車検_整備費用 減価償却,,,必要,,8回目/24回
2025/04/28 06:15:21,2025/04/28,支出,,1435,減価償却,償却資産,その他,,車検_法定費用 減価償却,,,必要,,8回目/24回
2025/04/28 06:15:05,2025/04/28,移動,,130616,,ゆうちょ,,,デビュープラス支払い,,,,,3月利用分
2025/04/28 06:15:05,2025/04/28,支出,,54300,固定費,ゆうちょ,ネット,,家賃,,,必要,,5月分
2025/04/28 06:15:05,2025/04/28,移動,,38763,,ゆうちょ,,,paypayクレジット支払い,,,,,3月利用分
2025/04/28 06:15:05,2025/04/28,移動,,15003,,三井住友銀行,,,Olive支払い,,,,,3月利用分
2025/04/28 06:15:05,2025/04/28,移動,,0,,楽天銀行,,,楽天カード 支払い,,,,,3月利用分
2025/04/27 16:23:37,2025/04/27,支出,,777,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,paypayクレジット,
2025/04/26 20:29:47,2025/04/26,支出,,1030,食品,クレジットカード,飲食店,,夕食,,,なくても良い,paypayクレジット,武蔵野うどん竹國
2025/04/26 11:58:04,2025/04/26,支出,,1000,食品,クレジットカード,飲食店,,昼食,,,必要,paypayクレジット,肉の万世
2025/04/26 06:51:15,2025/04/26,支出,,480,食品,クレジットカード,飲食店,,朝食,,,必要,デビュープラス,
2025/04/25 22:09:20,2025/04/25,支出,,1088,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,かつや  川越上寺山店／ＮＦＣ
2025/04/25 06:43:15,2025/04/25,支出,,444,食品,クレジットカード,コンビニ,,朝食,,,必要,Olive,FAMILYMART
2025/04/25 06:15:05,2025/04/25,支出,,6281,固定費,クレジットカード,ネット,,ガス代,,,必要,デビュープラス,4月利用分
2025/04/24 20:20:40,2025/04/24,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/24 20:14:35,2025/04/24,支出,,2410,食品,クレジットカード,飲食店,,夕食,,,なくても良い,Olive,RINGERHUT KAWAGOEKOEITE
2025/04/24 17:52:16,2025/04/24,支出,,110,間食,PASMO,自動販売機,,飲み物,,,なくても良い,,
2025/04/24 17:52:04,2025/04/24,支出,,130,間食,PASMO,自動販売機,,飲み物,,,なくても良い,,
2025/04/24 14:03:52,2025/04/24,支出,,150,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,paypayクレジット,
2025/04/24 11:32:02,2025/04/24,支出,,614,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,SEVEN-ELEVEN
2025/04/24 11:24:56,2025/04/24,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/22 14:30:40,2025/04/22,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/22 14:28:20,2025/04/22,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/22 13:04:24,2025/04/22,支出,,750,食品,PASMO,飲食店,,昼食,,,必要,,
2025/04/22 08:21:14,2025/04/22,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/22 06:15:05,2025/04/22,支出,,0,,クレジットカード,ネット,,タベソダ支払い,,,必要,デビュープラス,3月注文分
2025/04/21 21:53:55,2025/04/21,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/21 21:46:08,2025/04/21,移動,,3170,,クレジットカード,,,二人のみ_立替,,paypay,,paypayクレジット,
2025/04/21 15:50:57,2025/04/21,支出,,671,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,デビュープラス,
2025/04/21 15:41:35,2025/04/21,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,
2025/04/21 15:39:57,2025/04/21,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/21 08:40:53,2025/04/21,支出,,924,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,Olive,FAMILYMART
2025/04/21 08:32:49,2025/04/21,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/20 18:50:02,2025/04/20,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/20 18:48:28,2025/04/20,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/20 14:38:57,2025/04/20,支出,,937,食品,クレジットカード,飲食店,,昼食,,,なくても良い,Olive,YOSHINOYA
2025/04/20 08:19:42,2025/04/20,支出,,895,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,SEVEN-ELEVEN
2025/04/20 08:13:16,2025/04/20,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/20 06:15:08,2025/04/20,支出,,2875,減価償却,償却資産,ネット,,2024年度自動車税 減価償却,,,必要,,12回目/12回
2025/04/19 22:12:47,2025/04/19,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/19 22:09:11,2025/04/19,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/19 11:05:36,2025/04/19,支出,,713,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,
2025/04/19 10:59:59,2025/04/19,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/19 09:44:44,2025/04/18,支出,,1000,食品,現金,飲食店,,夕食,,,なくても良い,,
2025/04/18 19:58:53,2025/04/18,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/18 12:36:47,2025/04/18,支出,,763,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,SEVEN-ELEVEN
2025/04/18 12:29:21,2025/04/18,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/17 14:38:54,2025/04/17,移動,,51000,,現金,,,預け入れ,,ゆうちょ,,,
2025/04/17 14:24:40,2025/04/17,支出,,2289,便利アイテム,クレジットカード,スーパー・小売,,ニトリ お風呂用品,,,なくても良い,デビュープラス,
2025/04/17 13:42:23,2025/04/17,支出,,770,食品,クレジットカード,飲食店,,昼食,,,なくても良い,デビュープラス,
2025/04/17 13:09:55,2025/04/17,支出,,5500,美容費,クレジットカード,その他,,美容室,,,必要,デビュープラス,
2025/04/16 22:45:15,2025/04/16,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/16 22:42:38,2025/04/16,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/16 21:16:44,2025/04/16,支出,,750,食品,PASMO,飲食店,,夕食,,,必要,,
2025/04/16 13:12:16,2025/04/16,支出,,843,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,
2025/04/16 11:56:00,2025/04/16,移動,,9179,,,,,立替分_回収,,paypay,,,
2025/04/16 08:37:42,2025/04/16,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/15 23:11:20,2025/04/15,移動,,9179,,,,,立替分回収,,paypay,,,
2025/04/15 23:10:56,2025/04/15,支出,,7003,趣味・娯楽,クレジットカード,飲食店,,同期飲み目利きの銀次_立替,,,なくても良い,デビュープラス,
2025/04/15 23:09:26,2025/04/15,支出,,20540,趣味・娯楽,クレジットカード,飲食店,,同期飲みイタリアン_立替,,,なくても良い,デビュープラス,
2025/04/15 22:50:09,2025/04/15,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/15 18:38:33,2025/04/15,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越,,,必要,,
2025/04/15 15:35:28,2025/04/15,支出,,3602,日用品,amazonギフト,ネット,,お茶48本,,,必要,,
2025/04/15 15:28:06,2025/04/15,支出,,100,間食,PASMO,自動販売機,,飲み物,,,なくても良い,,
2025/04/15 11:23:17,2025/04/15,支出,,2290,交際費,クレジットカード,飲食店,,昼食と花井奢り,,,必要,Olive,
2025/04/15 08:34:09,2025/04/15,支出,,728,食品,クレジットカード,飲食店,,朝食,,,なくても良い,Olive,YOSHINOYA
2025/04/15 08:15:19,2025/04/15,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2025/04/15 06:15:05,2025/04/15,支出,,4824,通信費,クレジットカード,ネット,,スマホ,,,必要,デビュープラス,3月利用分
2025/04/15 06:15:05,2025/04/15,支出,,3193,通信費,クレジットカード,ネット,,ソフトバンク光,,,必要,デビュープラス,3月利用分
2025/04/14 18:14:53,2025/04/14,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/14 18:11:05,2025/04/14,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/14 08:33:13,2025/04/14,支出,,150,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,paypayクレジット,
2025/04/14 08:31:13,2025/04/14,支出,,756,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,Olive,SEVEN-ELEVEN
2025/04/14 08:25:15,2025/04/14,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/14 07:02:02,2025/04/14,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,
2025/04/14 06:15:09,2025/04/14,支出,,7096,減価償却,償却資産,ネット,,自動車保険_2024 減価償却,,,必要,,6回目/12回
2025/04/13 20:13:28,2025/04/13,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2025/04/13 18:50:10,2025/04/13,支出,,576,交通費,PASMO,その他,,電車 麹町〜川越,,,必要,,
2025/04/13 09:24:36,2025/04/13,支出,,576,交通費,PASMO,その他,,電車 川越市〜麹町,,,必要,,
2025/04/13 06:15:04,2025/04/13,移動,,20000,,クレジットカード,,,SBI積立NISA入金決済,,,,デビュープラス,5月発注用
2025/04/12 16:52:24,2025/04/12,支出,,2110,食品,クレジットカード,飲食店,,昼食,,,必要,paypayクレジット,洋麺屋五右衛門
2025/04/12 15:13:58,2025/04/12,移動,,1782,,貯金箱,,,貯金箱調節,,,,,
2025/04/11 21:04:25,2025/04/11,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,なくても良い,paypayクレジット,
2025/04/11 20:57:08,2025/04/11,支出,,1330,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,
2025/04/11 06:15:08,2025/04/11,支出,,1067,減価償却,償却資産,ネット,,youtube premium_2024 減価償却,,,なくても良い,,9回目/12回
2025/04/11 01:45:50,2025/04/11,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/10 18:27:59,2025/04/10,支出,,400,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,paypayクレジット,ファーストキッチンモバイルオーダー
2025/04/10 18:23:53,2025/04/10,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越,,,必要,,
2025/04/10 08:39:37,2025/04/10,支出,,150,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,paypayクレジット,
2025/04/10 08:34:31,2025/04/10,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/10 06:15:05,2025/04/10,支出,,1280,サブスク,クレジットカード,ネット,,Rentio ルンバレンタル,,,なくても良い,デビュープラス,3月利用分
2025/04/09 21:28:47,2025/04/09,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/09 21:23:25,2025/04/09,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/09 12:43:27,2025/04/09,支出,,627,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2025/04/09 10:35:51,2025/04/09,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/08 20:16:28,2025/04/08,支出,,3746,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2025/04/08 18:17:55,2025/04/08,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/08 18:15:49,2025/04/08,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/04/08 11:22:39,2025/04/08,支出,,880,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2025/04/08 08:35:39,2025/04/08,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2025/04/08 01:57:04,2025/04/08,支出,,89999,FX,クレジットカード,ネット,,Fundoraへ,,,なくても良い,デビュープラス,
2025/04/07 18:46:27,2025/04/07,支出,,100,雑費,paypay,ネット,,出金手数料,,,必要,,
2025/04/07 18:45:45,2025/04/07,移動,,221825,,paypay,,,出金,,住信SBIネット銀行,,,
2025/04/07 18:23:27,2025/04/07,移動,,693,,経費,,,経費調整,,,,,
2025/04/07 18:07:10,2025/04/07,移動,,2424,,amazonギフト,,,amazonギフト券調整,,,,,
2025/04/07 18:05:56,2025/04/07,移動,,169,,PASMO,,,PASMO調整,,,,,
2025/04/07 17:58:01,2025/04/07,移動,,4130,,,,,paypay調整,,paypay,,,
2025/04/07 17:57:21,2025/04/07,移動,,1008,,,,,住信調整,,住信SBIネット銀行,,,
2025/04/07 17:47:37,2025/04/07,移動,,620,,ゆうちょ,,,ゆうちょ調整,,,,,
2025/04/07 17:37:01,2025/04/07,移動,,970,,現金,,,現金調整,,,,,
2025/04/07 17:31:24,2025/04/07,収入,,221925,,,,,PayPay売上金チャージ,,paypay,,,
2025/04/07 15:48:29,2025/04/07,収入,,3400,,,,,amazonギフト券チャージボーナス,,amazonギフト,,,
2025/04/07 15:48:05,2025/04/07,移動,,16600,,ゆうちょ,,,amazonギフト券チャージ,,amazonギフト,,,
2025/04/07 14:58:01,2025/04/07,支出,,2145,固定費,クレジットカード,ネット,,水道料金,,,必要,paypayクレジット,2・3月分
2025/04/07 14:34:31,2025/04/07,支出,,5531,日用品,クレジットカード,スーパー・小売,,ビバホーム,,,必要,デビュープラス,
2025/04/07 14:15:55,2025/04/07,移動,,180000,,現金,,,預け入れ,,住信SBIネット銀行,,,
2025/04/07 13:19:46,2025/04/07,支出,,520,食品,クレジットカード,飲食店,,昼食,,,なくても良い,デビュープラス,
2025/04/07 06:15:07,2025/04/07,移動,,20000,,,,,SBI積立NISA約定,,SBI積立NISA,,,4月発注分
2025/04/06 22:52:26,2025/04/06,移動,,188,,現金,,,貯金箱へ,,貯金箱,,,
2025/04/06 22:51:45,2025/04/06,収入,,14254,,,,,2025年03月分交通費,,現金,,,
2025/04/06 22:51:38,2025/04/06,収入,,217459,,,,,2025年03月分給料_SP,,現金,,,
2025/04/06 21:26:16,2025/04/06,支出,,456,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,Olive,SEVEN-ELEVEN
2025/04/06 19:20:36,2025/04/06,支出,,1400,趣味・娯楽,クレジットカード,ネット,,コナン映画前売り,,,なくても良い,paypayクレジット,
2025/04/07 18:17:23,2025/04/05,経費使用,,1700,経費,経費,,,駐車場,,,,,
2025/04/05 23:15:12,2025/04/05,支出,,910,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,
2025/04/05 07:52:56,2025/04/05,支出,,659,食品,クレジットカード,コンビニ,,朝食,,,必要,Olive,SEVEN-ELEVEN
2025/04/05 00:39:10,2025/04/04,経費使用,,1700,経費,経費,,,駐車場,,,,,
2025/04/04 14:06:05,2025/04/04,支出,,116490,PC・スマホ関連,クレジットカード,ネット,,ノートPC,,,必要,デビュープラス,
2025/04/04 08:07:13,2025/04/04,支出,,572,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,paypayクレジット,
2025/04/04 06:15:09,2025/04/04,支出,,8504,減価償却,償却資産,ネット,,Galaxy S24 Ultra 512GB 減価償却,,,必要,,13回目/24回
2025/04/03 22:00:38,2025/04/03,支出,,1253,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,かつや  川越上寺山店／ＮＦＣ
2025/04/03 06:15:07,2025/04/03,支出,,4769,減価償却,償却資産,ネット,,コンタクト180枚 減価償却,,,必要,,2回目/6回
2025/04/02 19:43:56,2025/04/02,支出,,926,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,paypayクレジット,ミニストップ
2025/04/02 19:30:37,2025/04/02,支出,,1030,食品,クレジットカード,飲食店,,夕食,,,なくても良い,paypayクレジット,武蔵野うどん竹國
2025/04/02 16:42:32,2025/04/02,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/02 16:40:30,2025/04/02,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2025/04/02 10:10:31,2025/04/02,支出,,618,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,SEVEN-ELEVEN
2025/04/02 09:48:02,2025/04/02,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2025/04/02 06:15:07,2025/04/02,移動,,5188,,ゆうちょ,,,ENEOSカード支払い,,,,,2月利用分
2025/04/07 17:42:16,2025/04/01,収入,,491,,,,,利子受け取り,,ゆうちょ,,,
2025/04/01 18:49:36,2025/04/01,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/04/01 18:47:32,2025/04/01,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2025/04/01 17:23:46,2025/04/01,支出,,1260,食品,クレジットカード,飲食店,,夕食,,,必要,paypayクレジット,屯ちん
2025/04/01 12:20:12,2025/04/01,支出,,701,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,FAMILYMART
2025/04/01 08:42:24,2025/04/01,移動,,576,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2025/04/07 17:38:27,2025/03/31,収入,,15,,,,,利息,,楽天銀行,,,
2025/03/31 20:14:37,2025/03/31,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/03/31 20:12:49,2025/03/31,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2025/03/31 12:24:54,2025/03/31,支出,,160,間食,PASMO,自動販売機,,飲み物,,,なくても良い,,
2025/03/31 09:10:52,2025/03/31,移動,,252,交通費(経費),PASMO,その他,,電車 雑司が谷〜中目黒,,,必要,,
2025/03/31 07:32:28,2025/03/31,支出,,849,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,FAMILYMART
2025/03/31 07:20:04,2025/03/31,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2025/03/31 06:15:04,2025/03/31,支出,,5926,固定費,クレジットカード,ネット,,電気代,,,必要,デビュープラス,2月利用分
2025/03/29 07:58:33,2025/03/29,支出,,436,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,Olive,SEVEN-ELEVEN
2025/03/29 05:56:14,2025/03/29,支出,,601,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,Olive,LAWSON
2025/03/28 20:06:06,2025/03/28,支出,,1104,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2025/03/28 18:56:49,2025/03/28,支出,,100,交通費,クレジットカード,その他,,駐輪場,,,必要,paypayクレジット,
2025/03/28 18:54:38,2025/03/28,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2025/03/28 09:47:34,2025/03/28,支出,,903,食品,クレジットカード,コンビニ,,昼食,,,必要,Olive,FAMILYMART
2025/03/28 09:33:34,2025/03/28,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2025/03/28 06:15:08,2025/03/28,支出,,2367,減価償却,償却資産,その他,,車検_整備費用 減価償却,,,必要,,7回目/24回
2025/03/28 06:15:08,2025/03/28,支出,,1435,減価償却,償却資産,その他,,車検_法定費用 減価償却,,,必要,,7回目/24回
2025/03/27 18:49:11,2025/03/27,支出,,3892,食品,amazonギフト,ネット,,ベースブレッド,,,必要,,
